"";"V1"
"1";0,145
"2";0,2486
"3";0,3203
"4";0,3895
"5";0,4827
"6";0,5444
"7";0,5611
"8";0,5626
"9";0,5801
"10";0,6315
"11";0,6386
"12";0,6825
"13";0,6952
"14";0,8292
"15";0,9116
"16";0,9264
"17";1,156
"18";1,2653
"19";1,3392
"20";1,7272
"21";1,7833
"22";1,7947
"23";1,8889
"24";1,928
"25";1,932
"26";2,0518
"27";2,3941
"28";2,4486
"29";2,5916
"30";2,6062
"31";2,8106
"32";2,8279
"33";2,8543
"34";2,8648
"35";3,1733
"36";3,1805
"37";3,4328
"38";3,6578
"39";3,6689
"40";4,0665
"41";4,1325
"42";4,2227
"43";4,2242
"44";4,4293
"45";4,5078
"46";4,5753
"47";4,6136
"48";4,6398
"49";4,6515
"50";4,7721
"51";5,021
"52";5,2668
"53";5,345
"54";5,4097
"55";5,4271
"56";5,551
"57";5,6855
"58";5,6901
"59";6,4803
"60";6,5501
"61";6,8904
"62";6,9801
"63";6,9938
"64";7,0202
"65";7,065
"66";7,1283
"67";7,139
"68";7,3954
"69";7,6483
"70";7,7346
"71";7,8419
"72";8,031
"73";8,1482
"74";8,3706
"75";8,4681
"76";8,6954
"77";8,9887
"78";9,0637
"79";9,1011
"80";9,1595
"81";9,3237
"82";9,5723
"83";9,8164
"84";10,2743
"85";10,4128
"86";10,4561
"87";10,5212
"88";10,5597
"89";10,5942
"90";10,6039
"91";10,61
"92";10,6363
"93";10,656
"94";10,6776
"95";10,6826
"96";11,1585
"97";11,2526
"98";11,2928
"99";11,3088
"100";11,391
"101";11,5776
"102";11,6875
"103";11,7166
"104";11,7704
"105";11,7832
"106";12,0423
"107";12,176
"108";12,2036
"109";12,2444
"110";12,3234
"111";12,8335
"112";12,8484
"113";12,8613
"114";12,9808
"115";13,3062
"116";13,3213
"117";13,3242
"118";13,4257
"119";13,487
"120";13,5949
"121";13,6077
"122";14,0824
"123";14,159
"124";14,1752
"125";14,5164
"126";14,7284
"127";14,8798
"128";14,8983
"129";14,9884
"130";15,0694
"131";15,1205
"132";15,1579
"133";15,2453
"134";15,2634
"135";15,4533
"136";15,5694
"137";15,8818
"138";15,9392
"139";15,9924
"140";16,0001
"141";16,0356
"142";16,0497
"143";16,1056
"144";16,7568
"145";17,0443
"146";17,0514
"147";17,4654
"148";17,5744
"149";17,7058
"150";17,8654
"151";18,0621
"152";18,1955
"153";18,3123
"154";18,3255
"155";18,4329
"156";18,442
"157";18,6261
"158";18,8293
"159";18,9065
"160";18,9978
"161";19,0188
"162";19,034
"163";19,076
"164";19,112
"165";19,6174
"166";19,6212
"167";19,9632
"168";20,0312
"169";20,2127
"170";20,2204
"171";20,3254
"172";20,3614
"173";20,7428
"174";20,9753
"175";21,0233
"176";21,0316
"177";21,1496
"178";21,1763
"179";21,4885
"180";21,592
"181";21,669
"182";21,7687
"183";21,8931
"184";22,0236
"185";22,1693
"186";22,2753
"187";23,1433
"188";23,1776
"189";23,1832
"190";23,4599
"191";23,623
"192";23,7044
"193";24,0626
"194";24,1238
"195";24,2961
"196";24,4673
"197";24,4999
"198";24,5371
"199";24,6358
"200";24,6569
"201";24,8753
"202";25,0358
"203";25,2712
"204";25,3827
"205";25,3934
"206";25,57
"207";25,9217
"208";25,9277
"209";25,9812
"210";26,0174
"211";26,0551
"212";26,0839
"213";26,3684
"214";26,4668
"215";26,8762
"216";26,9356
"217";27,0902
"218";27,1758
"219";27,4604
"220";27,567
"221";28,0438
"222";28,0464
"223";28,0615
"224";28,3873
"225";28,4946
"226";28,7262
"227";28,8134
"228";28,9878
"229";29,0872
"230";29,3529
"231";29,4142
"232";29,4474
"233";29,5141
"234";29,5414
"235";29,6146
"236";29,8313
"237";29,8548
"238";29,9803
"239";30,3062
"240";30,3173
"241";30,7151
"242";30,9012
"243";31,0166
"244";31,1701
"245";31,18
"246";31,2395
"247";31,2519
"248";31,2567
"249";31,2652
"250";31,2709
"251";31,9146
"252";32,304
