"";"V1"
"1";0,1201
"2";0,1418
"3";0,1493
"4";0,1908
"5";0,2405
"6";0,313
"7";0,3239
"8";0,3894
"9";0,4643
"10";0,5863
"11";0,8424
"12";0,8974
"13";0,902
"14";1,1703
"15";1,1838
"16";1,2161
"17";1,2926
"18";1,405
"19";1,451
"20";1,4757
"21";1,5561
"22";1,5624
"23";1,5952
"24";1,8406
"25";1,9046
"26";1,9465
"27";2,0247
"28";2,0512
"29";2,0544
"30";2,0958
"31";2,1432
"32";2,1544
"33";2,3526
"34";2,3654
"35";2,3691
"36";2,7162
"37";3,3324
"38";3,3694
"39";3,6036
"40";3,6549
"41";3,9848
"42";4,0186
"43";4,572
"44";5,0796
"45";5,1046
"46";5,1808
"47";5,3803
"48";5,4445
"49";5,446
"50";5,4646
"51";5,5534
"52";5,8457
"53";5,9378
"54";5,9553
"55";6,0997
"56";6,3079
"57";6,3228
"58";6,6382
"59";6,9317
"60";7,0695
"61";7,1404
"62";7,2199
"63";7,2631
"64";7,2698
"65";7,3616
"66";7,4157
"67";7,4635
"68";7,6823
"69";7,8165
"70";7,8874
"71";7,8958
"72";8,1574
"73";8,2107
"74";8,2826
"75";8,3474
"76";8,7154
"77";8,7506
"78";8,7862
"79";8,8284
"80";8,877
"81";8,8798
"82";9,0791
"83";9,2379
"84";9,3857
"85";9,8694
"86";9,8767
"87";9,9426
"88";9,9835
"89";9,995
"90";10,0145
"91";10,0185
"92";10,0237
"93";10,0274
"94";10,048
"95";10,0748
"96";10,0977
"97";10,1033
"98";10,1453
"99";10,2327
"100";10,3337
"101";10,3549
"102";10,4881
"103";10,4909
"104";10,838
"105";11,1586
"106";11,2053
"107";11,4194
"108";11,4724
"109";11,5113
"110";11,589
"111";11,7222
"112";11,7253
"113";11,7685
"114";11,9161
"115";11,9423
"116";11,9465
"117";11,9915
"118";12,1787
"119";12,703
"120";12,7538
"121";12,8924
"122";13,026
"123";13,0868
"124";13,1117
"125";13,2614
"126";13,3418
"127";13,3435
"128";13,3517
"129";13,5303
"130";13,7544
"131";13,9615
"132";14,536
"133";14,8925
"134";15,495
"135";16,3927
"136";16,7663
"137";17,4439
"138";17,4917
"139";17,4929
"140";17,5034
"141";17,5328
"142";17,6159
"143";17,6438
"144";17,8434
"145";17,8994
"146";18,1379
"147";18,5237
"148";18,6236
"149";18,626
"150";19,0638
"151";19,206
"152";19,3666
"153";19,4196
"154";19,5779
"155";19,866
"156";20,0273
"157";20,0514
"158";20,1522
"159";20,3067
"160";20,3252
"161";20,398
"162";20,4093
"163";20,4434
"164";20,4767
"165";20,6038
"166";20,6518
"167";20,7212
"168";20,808
"169";20,8164
"170";21,0977
"171";21,217
"172";21,27
"173";21,2848
"174";21,2864
"175";21,3255
"176";21,3448
"177";21,4381
"178";21,5969
"179";21,984
"180";22,1758
"181";22,3617
"182";22,4744
"183";22,4789
"184";22,7337
"185";22,8089
"186";23,0899
"187";23,2731
"188";23,7865
"189";23,7979
"190";23,8359
"191";23,9698
"192";23,9878
"193";24,3544
"194";24,4555
"195";24,5484
"196";24,7385
"197";25,2698
"198";25,3371
"199";25,5285
"200";25,5322
"201";25,5619
"202";25,5887
"203";25,6027
"204";25,9577
"205";25,9802
"206";26,0422
"207";26,1575
"208";26,1617
"209";26,186
"210";26,1912
"211";26,2164
"212";26,2219
"213";26,462
"214";26,4879
"215";26,5183
"216";26,5254
"217";26,5287
"218";26,5601
"219";26,7593
"220";27,1319
"221";27,1504
"222";27,2
"223";27,307
"224";27,4932
"225";27,5688
"226";27,6344
"227";27,6693
"228";27,7893
"229";27,8242
"230";27,8797
"231";28,0788
"232";28,2553
"233";28,435
"234";28,5948
"235";28,7544
"236";28,9639
"237";29,2168
"238";29,2953
"239";29,3232
"240";29,3794
"241";29,8578
"242";30,0069
"243";30,1792
"244";30,2879
"245";30,3175
"246";30,6663
"247";30,7523
"248";30,7852
"249";30,7873
"250";31,0993
"251";31,2933
"252";31,6979
"253";32,0351
"254";32,3419
"255";32,3642
"256";33,0255
"257";33,3955
"258";33,433
"259";33,5254
"260";33,7024
"261";33,8376
"262";33,8626
"263";34,0745
"264";34,1452
"265";34,1967
"266";34,3065
"267";34,4398
"268";34,4507
"269";34,4778
"270";34,6818
"271";34,7654
"272";34,7749
"273";35,0373
"274";35,1289
"275";35,2005
"276";35,4171
"277";35,4893
"278";35,5948
"279";35,6157
"280";35,7303
"281";35,7749
"282";35,7814
"283";35,8777
"284";35,9373
"285";35,9714
"286";36,2061
"287";36,2282
"288";36,5422
"289";36,6943
"290";36,834
"291";36,869
"292";37,1005
"293";37,3308
"294";37,8949
"295";37,9035
"296";37,9436
"297";37,9958
"298";38,5659
"299";38,5688
"300";38,5814
"301";38,6531
"302";38,6727
"303";38,7491
"304";38,7608
"305";38,7919
"306";38,8602
"307";39,3277
"308";39,3742
"309";39,6906
"310";39,8503
"311";39,9276
"312";40,0115
"313";40,2387
"314";40,2653
"315";40,2795
"316";40,6202
"317";40,7814
"318";40,9123
"319";40,9239
"320";40,9435
"321";40,9965
"322";41,1693
"323";41,205
"324";41,2256
"325";41,2334
"326";41,6327
"327";41,8855
"328";42,0096
"329";42,2404
"330";42,277
"331";42,2783
"332";42,4834
"333";42,6
"334";42,6406
"335";42,8826
"336";43,0005
"337";43,0804
"338";43,0914
"339";43,1074
"340";43,1673
"341";43,1888
"342";43,2194
"343";43,3354
"344";43,3467
"345";43,3705
"346";43,6257
"347";44,0673
"348";44,1892
"349";44,3171
"350";44,4438
"351";44,7193
"352";44,7896
"353";45,059
"354";45,1008
"355";45,1194
"356";45,3061
"357";45,5803
"358";45,6014
"359";45,6504
"360";45,8845
"361";46,1818
"362";46,2015
"363";46,4333
"364";46,4553
"365";46,4733
"366";46,5273
"367";46,5984
"368";46,8992
"369";46,9548
"370";47,0397
"371";47,053
"372";47,1512
"373";47,328
"374";47,3748
"375";47,5973
"376";47,6387
"377";47,6437
"378";47,6918
"379";48,0488
"380";48,1223
"381";48,3254
"382";48,7244
"383";48,8372
"384";49,1545
"385";49,175
"386";49,1847
"387";49,3003
"388";49,7552
"389";49,7598
"390";49,8968
"391";50,2262
"392";50,2313
"393";50,3347
"394";50,3415
"395";50,4654
"396";51,2002
"397";51,2155
"398";51,7619
"399";51,8084
"400";51,8122
"401";51,9663
"402";52,1672
"403";52,4619
"404";52,5124
"405";52,5331
"406";52,556
"407";52,5669
"408";52,5731
"409";52,5854
"410";52,7618
"411";52,8529
"412";52,8839
"413";53,0055
"414";53,021
"415";53,1247
"416";53,2976
"417";53,3547
"418";53,3826
"419";53,5834
"420";53,6053
"421";53,8272
"422";53,8704
"423";53,9306
"424";53,9872
"425";54,4795
"426";54,6989
"427";54,7102
"428";54,7746
"429";54,9278
"430";55,043
"431";55,6885
"432";55,6966
"433";55,6978
"434";55,766
"435";55,8108
"436";56,2267
"437";56,4028
"438";56,5117
"439";56,5242
"440";56,6877
"441";56,8093
"442";56,9338
"443";57,1272
"444";57,1353
"445";57,1662
"446";57,4162
"447";57,695
"448";57,7466
"449";57,8088
"450";57,9262
"451";58,1367
"452";58,2059
"453";58,2851
"454";58,363
"455";58,3847
"456";58,5177
"457";58,7157
"458";58,7172
"459";58,7622
"460";59,049
"461";59,1602
"462";59,2309
"463";59,3116
"464";59,3309
"465";59,3378
"466";59,4234
"467";59,4259
"468";59,6222
"469";59,8431
"470";59,8759
"471";59,9041
"472";60,3205
"473";60,4721
"474";60,4976
"475";60,5824
"476";60,6407
"477";60,7541
"478";61,214
"479";61,3245
"480";61,3664
"481";61,5908
"482";62,0747
"483";62,0904
"484";62,2393
"485";62,2419
"486";62,3283
"487";62,339
"488";62,3555
"489";62,7747
"490";62,8562
"491";63,3239
"492";63,4721
"493";63,477
"494";63,4926
"495";63,6199
"496";63,6895
"497";63,9564
"498";64,0968
"499";64,1245
"500";64,3701
"501";64,5281
"502";64,787
"503";64,8301
"504";64,9389
"505";65,0447
"506";65,0703
"507";65,0772
"508";65,1218
"509";65,234
"510";65,4724
"511";65,9907
"512";66,0249
"513";66,3399
"514";66,411
"515";66,5015
"516";66,6443
"517";66,6561
"518";67,3783
"519";67,4721
"520";67,7513
"521";67,8232
"522";67,8462
"523";67,9567
"524";67,9918
"525";68,0319
"526";68,0799
"527";68,1133
"528";68,1615
"529";68,3653
"530";68,3743
"531";68,3894
"532";68,3908
"533";68,4732
"534";68,5503
"535";68,5613
"536";68,5938
"537";68,6609
"538";68,7306
"539";68,7978
"540";68,8987
"541";69,0108
"542";69,0568
"543";69,0966
"544";69,1635
"545";69,7731
"546";69,844
"547";69,8875
"548";69,9768
"549";69,9833
"550";69,9892
"551";69,9941
"552";70,011
"553";70,1267
"554";70,3582
"555";70,4981
"556";70,6884
"557";70,7448
"558";70,7612
"559";70,8671
"560";71,73
"561";71,9356
"562";72,2909
"563";72,4773
"564";72,9509
"565";73,0163
"566";73,1044
"567";73,3644
"568";73,5027
"569";73,5327
"570";73,5842
"571";73,7943
"572";73,8786
"573";73,9749
"574";73,9921
"575";74,0929
"576";74,3152
"577";74,3363
"578";74,3945
"579";74,4734
"580";74,5041
"581";74,8069
