"";"V1"
"1";0,1196
"2";0,157
"3";0,1721
"4";0,1892
"5";0,2137
"6";0,3063
"7";0,4369
"8";0,4703
"9";0,5529
"10";0,6061
"11";0,7011
"12";0,7333
"13";0,7452
"14";0,7568
"15";1,161
"16";1,312
"17";1,3683
"18";1,4363
"19";1,4396
"20";1,4654
"21";1,4706
"22";1,4746
"23";1,4759
"24";1,4775
"25";1,4794
"26";1,4851
"27";1,5613
"28";1,6069
"29";1,6118
"30";1,6284
"31";1,7557
"32";2,0069
"33";2,2547
"34";2,4364
"35";2,443
"36";2,4704
"37";2,4929
"38";2,5974
"39";2,6108
"40";2,8578
"41";3,001
"42";3,0379
"43";3,1033
"44";3,5084
"45";3,5764
"46";3,6553
"47";3,7564
"48";4,3945
"49";4,4399
"50";4,4998
"51";4,5292
"52";4,6812
"53";4,7033
"54";4,7745
"55";4,776
"56";4,778
"57";4,867
"58";4,8926
"59";4,9624
"60";5,0123
"61";5,0519
"62";5,0533
"63";5,0849
"64";5,2853
"65";5,3015
"66";5,3314
"67";5,3915
"68";5,4362
"69";5,5484
"70";5,7554
"71";6,2046
"72";6,2195
"73";6,3396
"74";6,4179
"75";6,4778
"76";6,9041
"77";6,9592
"78";6,9767
"79";6,9804
"80";7,293
"81";7,3304
"82";7,3857
"83";7,3943
"84";7,3959
"85";7,5333
"86";7,7675
"87";7,7691
"88";7,9048
"89";8,2773
"90";8,8784
"91";9,0521
"92";9,1897
"93";9,3169
"94";9,399
"95";9,4399
"96";9,4655
"97";9,9428
"98";10,061
"99";10,4185
"100";10,4695
"101";10,4907
"102";10,6203
"103";10,6369
"104";10,6493
"105";10,6583
"106";10,6747
"107";10,769
"108";10,8366
"109";10,9204
"110";11,3034
"111";11,6099
"112";11,7274
"113";11,8961
"114";12,1732
"115";12,216
"116";12,2219
"117";12,325
"118";12,3424
"119";12,7581
"120";12,8216
"121";12,8414
"122";12,8568
"123";12,9113
"124";12,9142
"125";12,928
"126";12,9661
"127";13,0092
"128";13,0229
"129";13,0359
"130";13,0394
"131";13,1416
"132";13,148
"133";13,1574
"134";13,1647
"135";13,2197
"136";13,2423
"137";13,2768
"138";13,2804
"139";13,36
"140";13,4132
"141";13,4783
"142";13,5178
"143";13,7848
"144";13,8912
"145";14,2736
"146";14,3134
"147";14,3222
"148";14,7711
"149";14,8927
"150";15,7299
"151";15,8229
"152";15,8737
"153";15,901
"154";15,9631
"155";15,9671
"156";16,3083
"157";16,3182
"158";16,3539
"159";16,3582
"160";16,4763
"161";16,5291
"162";16,7623
"163";17,0365
"164";17,2063
"165";17,2979
"166";17,3155
"167";17,3446
"168";17,6228
"169";17,8619
"170";17,972
"171";18,4094
"172";18,4137
"173";18,4953
"174";18,5439
"175";18,5799
"176";18,588
"177";18,5907
"178";18,6155
"179";18,6723
"180";18,707
"181";18,7203
"182";18,8091
"183";18,835
"184";18,8535
"185";19,2039
"186";19,2891
"187";19,3448
"188";19,38
"189";19,5265
"190";19,5408
"191";19,5579
"192";19,9258
"193";20,045
"194";20,0638
"195";20,2252
"196";20,3052
"197";20,4055
"198";20,4117
"199";20,8228
"200";20,8484
"201";20,8902
"202";21,1217
"203";21,5479
"204";21,5972
"205";21,6274
"206";21,6315
"207";21,6368
"208";21,7182
"209";21,7228
"210";21,8708
"211";21,9117
"212";21,9158
"213";21,9266
"214";22,0386
"215";22,0905
"216";22,3816
"217";22,7109
"218";22,8572
"219";22,8778
"220";22,8886
"221";23,0965
"222";23,1345
"223";23,4474
"224";23,449
"225";23,5525
"226";23,5558
"227";23,5697
"228";23,5745
"229";23,5989
"230";23,6706
"231";23,6885
"232";23,7645
"233";23,7809
"234";23,7976
"235";23,8357
"236";24,0318
"237";24,0768
"238";24,162
"239";24,8162
"240";24,9412
"241";25,1198
"242";25,4749
"243";25,5109
"244";26,0308
"245";26,0921
"246";26,1162
"247";26,1896
"248";26,2144
"249";26,2921
"250";26,4594
"251";26,7038
"252";26,7382
"253";26,9824
"254";26,9901
"255";27,1231
"256";27,1361
"257";27,1713
"258";27,182
"259";28,2971
"260";28,4302
"261";28,4806
"262";28,6472
"263";29,1562
"264";29,2226
"265";29,296
"266";29,4271
"267";29,4931
"268";29,7927
"269";30,1167
"270";30,1947
"271";30,4247
"272";30,5011
"273";30,5117
"274";30,9232
"275";30,974
"276";30,9918
"277";31,0504
"278";31,2591
"279";31,2801
"280";31,9041
"281";31,9378
"282";32,0362
"283";32,1332
